,precision,recall,f1-score,support
weevil,0.92,0.46,0.6133333333333333,50
fly,0.8214285714285714,0.46,0.5897435897435898,50
bee,0.7777777777777778,0.56,0.6511627906976745,50
"ant, emmet, pismire",0.6904761904761905,0.58,0.6304347826086957,50
"grasshopper, hopper",0.5714285714285714,0.56,0.5656565656565656,50
cricket,0.631578947368421,0.48,0.5454545454545454,50
"walking stick, walkingstick, stick insect",0.3918918918918919,0.58,0.46774193548387094,50
"cockroach, roach",0.6595744680851063,0.62,0.6391752577319586,50
"mantis, mantid",0.6590909090909091,0.58,0.6170212765957446,50
"cicada, cicala",0.7948717948717948,0.62,0.6966292134831461,50
leafhopper,0.9361702127659575,0.88,0.9072164948453608,50
"lacewing, lacewing fly",0.782608695652174,0.72,0.7499999999999999,50
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",0.6111111111111112,0.66,0.6346153846153846,50
damselfly,0.7631578947368421,0.58,0.6590909090909091,50
admiral,0.6571428571428571,0.92,0.7666666666666667,50
"ringlet, ringlet butterfly",0.972972972972973,0.72,0.8275862068965518,50
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",0.7627118644067796,0.9,0.8256880733944953,50
cabbage butterfly,0.8297872340425532,0.78,0.8041237113402062,50
"sulphur butterfly, sulfur butterfly",0.8958333333333334,0.86,0.8775510204081632,50
"lycaenid, lycaenid butterfly",0.6857142857142857,0.96,0.7999999999999999,50
"starfish, sea star",0.8181818181818182,0.72,0.7659574468085107,50
sea urchin,0.6792452830188679,0.72,0.6990291262135921,50
"sea cucumber, holothurian",0.44285714285714284,0.62,0.5166666666666667,50
"wood rabbit, cottontail, cottontail rabbit",0.8235294117647058,0.56,0.6666666666666666,50
hare,0.6491228070175439,0.74,0.6915887850467289,50
"Angora, Angora rabbit",0.86,0.86,0.8599999999999999,50
hamster,0.851063829787234,0.8,0.8247422680412372,50
"porcupine, hedgehog",0.5869565217391305,0.54,0.5625000000000001,50
"fox squirrel, eastern fox squirrel, Sciurus niger",0.8529411764705882,0.58,0.6904761904761905,50
marmot,0.8888888888888888,0.32,0.47058823529411764,50
beaver,0.8,0.48,0.6,50
"guinea pig, Cavia cobaya",1.0,0.48,0.6486486486486487,50
sorrel,1.0,0.94,0.9690721649484536,50
zebra,0.7704918032786885,0.94,0.8468468468468469,50
"hog, pig, grunter, squealer, Sus scrofa",0.6060606060606061,0.4,0.4819277108433735,50
"wild boar, boar, Sus scrofa",0.8571428571428571,0.48,0.6153846153846153,50
warthog,0.6333333333333333,0.38,0.4750000000000001,50
"hippopotamus, hippo, river horse, Hippopotamus amphibius",0.5735294117647058,0.78,0.6610169491525424,50
ox,0.28735632183908044,0.5,0.36496350364963503,50
"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",0.9,0.36,0.5142857142857143,50
bison,0.8611111111111112,0.62,0.7209302325581396,50
"ram, tup",0.7083333333333334,0.34,0.45945945945945954,50
"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",0.6428571428571429,0.72,0.6792452830188679,50
"ibex, Capra ibex",0.7560975609756098,0.62,0.6813186813186813,50
hartebeest,0.8958333333333334,0.86,0.8775510204081632,50
"impala, Aepyceros melampus",0.66,0.66,0.66,50
gazelle,0.4090909090909091,0.72,0.5217391304347826,50
"Arabian camel, dromedary, Camelus dromedarius",0.7,0.84,0.7636363636363636,50
llama,0.7555555555555555,0.68,0.7157894736842104,50
weasel,0.4222222222222222,0.38,0.4,50
mink,0.4393939393939394,0.58,0.5,50
"polecat, fitch, foulmart, foumart, Mustela putorius",0.5757575757575758,0.38,0.45783132530120485,50
"black-footed ferret, ferret, Mustela nigripes",0.5531914893617021,0.52,0.536082474226804,50
otter,0.417910447761194,0.56,0.47863247863247865,50
"skunk, polecat, wood pussy",0.8857142857142857,0.62,0.7294117647058823,50
badger,0.8205128205128205,0.64,0.7191011235955057,50
armadillo,0.8095238095238095,0.68,0.7391304347826089,50
"three-toed sloth, ai, Bradypus tridactylus",0.7714285714285715,0.54,0.6352941176470589,50
"orangutan, orang, orangutang, Pongo pygmaeus",0.7959183673469388,0.78,0.7878787878787878,50
"gorilla, Gorilla gorilla",0.6976744186046512,0.6,0.6451612903225806,50
"chimpanzee, chimp, Pan troglodytes",0.6956521739130435,0.64,0.6666666666666666,50
"gibbon, Hylobates lar",0.7804878048780488,0.64,0.7032967032967035,50
"siamang, Hylobates syndactylus, Symphalangus syndactylus",0.7435897435897436,0.58,0.6516853932584269,50
"guenon, guenon monkey",0.7,0.42,0.525,50
"patas, hussar monkey, Erythrocebus patas",0.7105263157894737,0.54,0.6136363636363636,50
baboon,0.7857142857142857,0.44,0.5641025641025641,50
macaque,0.7368421052631579,0.56,0.6363636363636364,50
langur,0.8125,0.52,0.6341463414634146,50
"colobus, colobus monkey",0.8536585365853658,0.7,0.7692307692307692,50
"proboscis monkey, Nasalis larvatus",0.7230769230769231,0.94,0.8173913043478259,50
marmoset,0.9090909090909091,0.4,0.5555555555555556,50
"capuchin, ringtail, Cebus capucinus",0.6875,0.66,0.673469387755102,50
"howler monkey, howler",0.6440677966101694,0.76,0.6972477064220184,50
"titi, titi monkey",0.6129032258064516,0.38,0.46913580246913583,50
"spider monkey, Ateles geoffroyi",0.4230769230769231,0.22,0.28947368421052627,50
"squirrel monkey, Saimiri sciureus",0.6274509803921569,0.64,0.6336633663366336,50
"Madagascar cat, ring-tailed lemur, Lemur catta",0.8928571428571429,0.5,0.6410256410256411,50
